COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR.AXIS_ASPECT_RATIO,MAX.LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR.AXIS_RECTANGULARITY,MAX.LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,Class
107,57,106,172,50,6,255,26,28,169,280,957,264,85,5,9,181,183,bus
96,55,103,201,65,9,204,32,23,166,227,624,246,74,6,2,186,194,opel
104,54,100,186,61,10,216,31,24,173,225,686,220,74,5,11,185,195,saab
101,56,100,215,69,10,208,32,24,169,227,651,223,74,6,5,186,193,opel
99,53,105,219,66,11,204,32,23,165,221,623,224,68,0,6,191,201,saab
107,54,98,203,65,11,218,31,25,167,229,696,216,72,1,28,187,199,saab
106,53,98,176,54,10,216,31,24,171,235,691,218,74,1,9,187,197,saab
119,54,106,220,65,12,213,31,24,167,223,675,232,66,20,1,192,202,saab
98,55,101,228,70,9,210,31,24,168,236,661,245,72,1,6,188,197,opel
101,56,104,185,53,6,257,26,28,168,275,956,230,83,5,26,180,184,bus
107,53,103,221,66,11,209,32,24,163,222,653,212,66,0,1,191,201,opel
98,55,101,219,69,11,225,30,25,178,231,748,216,74,6,14,187,195,opel
96,55,98,161,54,10,215,31,24,175,226,683,221,76,3,6,185,193,opel
97,59,108,227,70,11,224,30,25,186,225,732,218,70,10,25,186,198,opel
101,53,103,203,63,9,195,34,22,162,210,571,210,68,5,5,191,198,opel
104,52,94,208,66,5,208,31,24,161,227,666,218,76,11,4,193,191,bus
99,51,92,203,65,5,209,31,24,159,232,671,214,78,5,11,191,189,bus
110,58,106,180,51,6,261,26,28,171,278,998,257,83,9,13,181,182,bus
104,55,107,222,68,11,218,31,24,173,232,703,229,71,3,10,188,199,saab
104,52,100,191,59,9,197,33,23,158,218,583,234,70,10,10,191,198,saab
108,53,103,202,64,10,220,30,25,168,224,711,214,73,11,10,188,199,saab
109,53,109,221,69,12,221,31,25,169,226,712,212,72,13,28,188,201,saab
102,54,100,163,53,10,213,31,24,173,219,669,201,76,12,27,187,195,opel
103,54,107,218,64,12,222,30,25,174,221,728,199,67,0,18,189,200,opel
110,56,103,223,64,5,250,26,27,169,280,928,239,85,4,6,184,183,bus
107,52,101,218,64,11,202,33,23,164,219,610,192,65,17,2,197,206,opel
98,54,104,186,59,10,213,32,24,172,223,665,217,73,1,26,186,195,opel
103,54,91,179,57,11,220,31,25,170,220,707,198,72,1,32,186,198,opel
110,51,104,191,57,12,213,31,24,162,226,674,190,68,18,2,191,199,saab
108,51,103,197,60,11,211,31,24,160,222,661,187,67,7,3,190,200,opel
106,54,103,161,47,4,247,27,27,166,266,892,242,85,4,11,181,183,bus
102,54,106,221,68,11,207,32,24,164,228,638,238,71,0,26,189,200,saab
101,51,105,212,68,10,209,32,24,162,222,653,224,73,5,23,186,195,opel
107,55,98,199,59,7,240,27,26,168,258,866,245,80,3,1,186,184,bus
107,56,104,231,71,11,219,31,25,172,226,705,217,71,19,11,189,196,saab
111,54,103,171,50,11,221,30,25,172,227,727,201,69,15,6,190,198,opel
